spec,test,#-NOT_RUN,#-FIRST_DELAYED,#-BEFORE_SECOND,#-SECOND_EXECUTED,#-COMPLETE,total,is_second_not_run
00283,BeiderMorseEncoderTest#testLocaleIndependence,1,1,0,0,0,2,1
00283,PhoneticEngineRegressionTest#testSolrSEPHARDIC,1,1,0,0,0,2,1
00283,PhoneticEngineRegressionTest,0,2,0,0,0,2,0
00283,BeiderMorseEncoderTest#testSpeedCheck2,1,1,0,0,0,2,1
00283,PhoneticEngineTest,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testAsciiEncodeNotEmpty2Letters,1,1,0,0,0,2,1
00283,PhoneticEngineRegressionTest#testSolrGENERIC,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testSpeedCheck,1,1,0,0,0,2,1
00283,PhoneticEngineRegressionTest#testSolrASHKENAZI,1,1,0,0,0,2,1
00290,BeiderMorseEncoderTest#testLongestEnglishSurname,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testSpeedCheck3,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testAsciiEncodeNotEmpty1Letter,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testEncodeAtzNotEmpty,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testEncodeGna,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testSpeedCheck2,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testAsciiEncodeNotEmpty2Letters,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testAllChars,0,0,0,0,2,2,0
00290,BeiderMorseEncoderTest#testSpeedCheck,0,0,0,0,2,2,0
