method-a,method-b,verdict
org.joda.convert.StringConvert.findFromStringConstructorByType(Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.StringConvert.findFromStringConstructorByType(Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,spurious-spec
org.joda.convert.StringConvert.findFromStringConstructorByType(Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,spurious-spec
org.joda.convert.StringConvert.findFromStringConstructorByType(Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (direct)
org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,spurious-spec
org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (direct)
org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (direct)
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
