id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00130,no,u,ls,spurious-spec,ASM_ERROR;DYNAMIC_DISPATCH;METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION,0,0,0,0,no
00132,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,yes
00133,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,yes
00134,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00135,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS,0,0,0,0,yes
00136,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS,0,0,0,0,yes
00137,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS,0,0,0,0,yes
00138,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00139,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,yes
00140,no,lv-ls,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;EXPECTED_EXCEPTION;WEAK_ORACLE;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00141,no,lv-ls,ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,yes
00142,no,lv-ls,ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,yes
00144,no,lv-ls,ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00145,no,lv-ls,ls,spurious-spec,EXPECTED_EXCEPTION;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;WEAK_ORACLE,0,0,0,0,yes
00146,no,lv-ls,ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,yes
00147,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00148,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00153,no,lv,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00159,no,u,ls,spurious-spec,EXPECTED_EXCEPTION;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,yes
00160,yes,lv,lv,spurious-spec,EXPECTED_EXCEPTION;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,1,0,0,no
00161,no,u,ls,spurious-spec,EXPECTED_EXCEPTION;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00162,no,u,ls,spurious-spec,EXPECTED_EXCEPTION;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,yes
00163,yes,u,u,spurious-spec,EXPECTED_EXCEPTION;METHOD_B_AFTER_CRITICAL_POINT;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,1,0,0,no
00166,no,u,ls,spurious-spec,EXPECTED_EXCEPTION;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00167,yes,u,u,spurious-spec,EXPECTED_EXCEPTION;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,1,0,0,no
00168,no,u,ls,spurious-spec,EXPECTED_EXCEPTION;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00169,no,u,ls,spurious-spec,EXPECTED_EXCEPTION;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00170,yes,u,u,spurious-spec,EXPECTED_EXCEPTION;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,1,0,0,no
00171,yes,lv,lv,true-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,1,0,0,no
00172,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,0,0,yes
00173,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,0,0,yes
00174,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD,0,0,0,0,no
00175,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,0,0,yes
00176,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,0,0,yes
00187,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;MULTIPLE_PERTURBATIONS;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00188,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00189,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00190,yes,lv,lv,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;ONE_PURE_SETTER,0,1,0,0,no
00191,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00192,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00193,no,lv-ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;MULTIPLE_PERTURBATIONS;STATE_RESTORED,0,0,0,0,no
00194,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00195,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00196,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00197,no,lv,ls,true-spec,METHOD_A_RETURNS_VOID;ONE_PURE_SETTER;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00198,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;UNRELATED_PURE_SETTERS,0,0,0,0,no
00199,yes,lv,lv,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION_NOT_THROWN;UNRELATED_STATEFUL_METHODS,0,2,2,0,no
00200,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE,0,0,0,0,no
00207,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;ONE_PURE_SETTER,0,0,0,0,no
00208,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;ONE_PURE_SETTER,0,0,0,0,no
00209,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;ONE_PURE_SETTER,0,0,0,0,no
00210,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;ONE_PURE_SETTER;GOOD_EXAMPLE;WEAK_ORACLE,0,0,0,0,no
00211,yes,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_PURE_SETTER;WEAK_ORACLE;SOMETIMES_TRUE_SPEC,0,1,0,0,no
00212,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;ONE_PURE_SETTER,0,0,0,0,no
00236,no,ls-e,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_POLLUTION_BY_DSI;WEAK_ORACLE,0,0,0,0,no
00237,yes,lv-ls-e,lv-ls-e,sometimes-true-spec,MULTIPLE_PERTURBATIONS;SOMETIMES_TRUE_SPEC;METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;STATE_POLLUTION_BY_DSI;GOOD_EXAMPLE,0,1,0,0,no
00238,yes,ls,ls,sometimes-true-spec,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;SOMETIMES_TRUE_SPEC,0,1,0,0,no
00239,yes,lv-ls-e,lv-ls-e,sometimes-true-spec,MULTIPLE_PERTURBATIONS;SOMETIMES_TRUE_SPEC;METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;STATE_POLLUTION_BY_DSI;WEAK_ORACLE,0,1,0,0,no
00240,yes,lv-ls-e,lv-ls-e,sometimes-true-spec,MULTIPLE_PERTURBATIONS;SOMETIMES_TRUE_SPEC;METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;STATE_POLLUTION_BY_DSI;WEAK_ORACLE,0,1,0,0,no
00241,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;MULTIPLE_PERTURBATIONS;GOOD_EXAMPLE;STATE_RESTORED,0,0,0,0,no
00242,no,ls-e,ls,spurious-spec,METHOD_A_RETURNS_VOID;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;ONE_PURE_SETTER,0,0,0,0,no
00243,no,ls,ls,spurious-spec,GOOD_EXAMPLE;UNRELATED_STATELESS_METHODS;WEAK_ORACLE,0,0,0,0,no
00244,no,ls,ls,spurious-spec,GOOD_EXAMPLE;UNRELATED_STATELESS_METHODS;WEAK_ORACLE,0,0,0,0,yes
00245,no,u,ls,spurious-spec,ASM_ERROR;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;DYNAMIC_DISPATCH,0,0,0,0,yes
00246,no,u,ls,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;UNRELATED_STATEFUL_METHODS;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00247,no,u,ls,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;UNRELATED_STATEFUL_METHODS;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00248,no,u,ls,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;UNRELATED_STATEFUL_METHODS;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00249,no,u,ls,spurious-spec,DYNAMIC_DISPATCH;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;UNRELATED_STATEFUL_METHODS;ONE_STATELESS_METHOD,0,0,0,0,no
