id,dsi-time
00550,181.834
00551,188.056
00552,180.563
00553,187.432
00554,30.904
00555,32.358
00556,219.474
00567,36.759
00580,187.732
00587,28.039
00595,34.179
00596,171.284
00597,168.895
00598,170.181
00602,186.488
00603,172.380
00604,181.866
00605,174.678
00606,180.153
00611,177.550
00612,172.977
00613,185.655
00614,174.422
00615,188.395
00616,180.971
00617,169.709
00618,161.338
00619,165.814
00620,158.736
00630,317.808
00631,308.506
00632,323.848
00633,324.407
00635,325.048
00636,334.059
00637,322.259
00638,320.507
00640,319.120
00641,317.742
00642,330.237
00643,319.969
00662,11.102
00663,10.010
00664,9.139
00204,2034.551
00247,6491.572
00249,6461.163
00250,2216.522
00331,2103.027
00335,2045.139
00503,3709.661
00023,5249.152
00024,5187.978
00027,230.341
00029,6503.118
00030,5126.711
00031,5066.848
00034,60.001
00035,59.445
00044,1653.596
00045,1626.842
00046,920.638
00047,921.158
00050,2237.565
00051,2218.101
00052,1572.668
00057,1472.722
00060,182.907
00061,169.982
00062,191.552
00063,186.563
00064,192.511
00065,181.187
00066,192.920
00067,178.816
00068,183.140
00070,184.876
00071,181.694
00072,186.951
00077,55.949
00079,241.332
00080,245.287
00090,353.993
00102,238.379
00103,257.151
00104,251.074
00112,6589.731
00119,365.547
00120,142.735
00125,243.162
00127,261.607
00128,254.465
00129,256.237
00130,5912.248
00131,6767.222
00132,6737.585
00133,6773.906
00134,5921.511
00135,6791.368
00136,6742.491
00137,374.599
00138,355.582
00139,5841.562
00140,6717.286
00141,1159.363
00142,5859.871
00143,6452.176
00144,5782.509
00145,379.210
00146,6464.024
00147,6433.637
00149,7619.259
00150,6356.163
00151,5688.493
00153,6399.493
00154,6329.464
00156,7520.256
00157,7468.150
00158,6292.574
00159,5551.771
00160,373.425
00161,6198.639
00162,6182.219
00165,1479.384
00166,298.356
00167,306.916
00168,50.039
00169,246.893
00170,262.355
00171,256.193
00172,261.334
00173,245.523
00174,48.879
00175,48.684
00176,245.366
00177,46.065
00178,261.767
00179,255.284
00180,247.567
00181,48.689
00182,255.402
00183,236.241
00184,43.272
00185,257.187
00186,257.971
00187,252.470
00188,248.041
00205,46.561
00207,1886.435
00220,2812.590
00221,679.787
00222,6682.390
00223,643.669
00224,650.512
00225,521.930
00226,2734.943
00227,2737.513
00228,2714.190
00229,790.645
00230,7484.137
00273,3508.227
00274,1682.956
00278,2657.680
00279,617.569
00280,6447.083
00281,619.519
00282,633.750
00283,490.068
00286,2641.158
00287,2603.794
00288,2626.934
00289,772.407
00293,7235.768
00294,7289.233
00295,2594.805
00296,597.246
00297,6427.757
00298,581.678
00299,608.924
00300,469.532
00301,2596.769
00302,2617.674
00303,2563.450
00304,776.432
00305,7169.571
00309,2538.385
00310,532.990
00311,6364.970
00312,539.652
00313,538.263
00314,397.536
00316,2511.943
00317,2452.508
00318,2484.191
00319,721.874
00329,6135.019
00332,3464.190
00337,2410.694
00338,424.285
00339,6170.539
00340,411.575
00341,405.923
00342,279.695
00343,2391.911
00344,2392.272
00345,2358.048
00346,657.554
00347,38.783
00348,243.379
00349,242.478
00350,253.556
00351,37.194
00352,244.595
00355,243.401
00357,227.002
00358,232.204
00363,222.344
00364,346.699
00365,339.153
00366,26.651
00367,229.533
00368,218.953
00369,225.298
00370,25.395
00371,229.588
00374,227.122
00376,229.870
00377,211.874
00378,225.653
00379,227.691
00382,230.540
00383,328.759
00385,219.801
00386,232.334
00387,220.086
00388,21.874
00389,232.375
00392,219.376
00394,220.765
00395,229.639
00397,218.637
00400,227.931
00411,221.861
00418,337.984
00419,350.044
00420,336.970
00428,5576.382
00429,5656.696
00430,751.084
00431,5566.580
00432,5272.429
00433,5259.530
00434,5560.229
00435,376.810
00436,5003.885
00437,6430.225
00438,6384.635
00439,227.987
00440,211.750
00441,235.959
00442,18.694
00443,18.531
00444,18.999
00445,214.601
00446,220.063
00447,5686.049
00448,4824.111
00449,4803.342
00450,4496.746
00451,5668.174
00452,5709.814
00467,5442.798
00468,5354.997
00469,5359.243
00470,4665.926
00471,4685.544
00472,4352.629
00473,5299.748
00474,5300.412
00493,4623.498
00494,4577.471
00496,4249.015
00499,4494.934
00500,4470.536
00502,4128.321
00511,34.463
00528,36.307
00529,35.738
00530,37.351
00531,65.624
00532,29.987
00533,35.131
00534,39.177
00535,34.907
00557,32.659
00558,33.627
00559,32.853
00561,177.702
00562,179.174
00563,181.729
00564,181.333
00565,189.144
00566,176.535
00572,196.067
00573,201.067
00574,868.336
00581,39.625
00582,32.417
00585,32.582
00586,31.224
00591,36.381
00593,35.215
00594,29.340
00621,312.321
00622,312.285
00644,512.294
00645,481.091
00646,576.177
00647,513.495
00654,199.442
00661,379.878
00005,2831.076
00025,5234.511
00028,410.362
00032,6423.763
00033,5135.910
00048,1651.780
00049,929.327
00058,2223.346
00059,1478.815
00087,249.591
00088,248.894
00111,2220.541
00113,2209.820
00118,2197.085
00163,7254.676
00206,4549.176
00219,684.635
00275,608.637
00292,597.414
00306,572.872
00336,432.674
00422,5874.541
00426,5819.194
00427,5825.231
00001,620.928
00076,49.824
00082,49.806
00105,49.752
00121,245.300
00122,238.209
00123,238.570
00126,47.931
00232,7292.187
00248,6505.173
00270,3641.452
00324,6127.744
00330,6111.198
00333,3423.763
00360,219.285
00380,214.259
00384,20.913
00396,216.888
00398,219.107
00403,223.217
00409,214.327
00412,208.854
00423,4947.850
00424,4979.537
00504,67.932
00508,181.140
00583,73.598
00651,470.458
00657,174.581
00003,340.458
00004,2493.751
00006,1788.155
00007,1777.156
00008,969.645
00009,1495.174
00010,1848.618
00011,852.947
00012,1803.928
00013,863.949
00148,7459.564
00155,7393.181
