spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00106,org.apache.commons.fileupload2.FileItemStream.getName()Ljava/lang/String;,org.apache.commons.fileupload2.FileUploadBase$FileItemIteratorImpl$FileItemStreamImpl.close()V,org.apache.commons.fileupload2.SizesTest#testMaxSizeLimitUnknownContentLength,u,spurious-spec,ORDER_OF_ASSERTIONS;DYNAMIC_DISPATCH;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00112,org.apache.commons.fileupload2.FileItemStream.openStream()Ljava/io/InputStream;,org.apache.commons.fileupload2.FileItemStream.getHeaders()Lorg/apache/commons/fileupload2/FileItemHeaders;,org.apache.commons.fileupload2.DiskFileUploadTest#testMoveFile,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00113,org.apache.commons.fileupload2.FileItemStream.openStream()Ljava/io/InputStream;,org.apache.commons.fileupload2.FileUploadBase$FileItemIteratorImpl$FileItemStreamImpl.close()V,org.apache.commons.fileupload2.ProgressListenerTest#testProgressListener,u,true-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00124,org.apache.commons.fileupload2.FileUploadBase$FileItemIteratorImpl.getContentLength(Lorg/apache/commons/fileupload2/FileItemHeaders;)J,org.apache.commons.fileupload2.FileItemIterator.next()Lorg/apache/commons/fileupload2/FileItemStream;,org.apache.commons.fileupload2.StreamingTest#testFILEUPLOAD135,u,spurious-spec,ASM_ERROR;UNRELATED_STATEFUL_METHODS
00126,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException.setFieldName(Ljava/lang/String;)V,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException.getPermittedSize()J,org.apache.commons.fileupload2.SizesTest#testFileSizeLimit,u,spurious-spec,METHOD_A_RETURNS_VOID;ASM_ERROR;EXPECTED_EXCEPTION;ONE_STATELESS_METHOD
00128,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException.setFieldName(Ljava/lang/String;)V,org.apache.commons.fileupload2.FileUploadBase$SizeException.getPermittedSize()J,org.apache.commons.fileupload2.SizesTest#testFileSizeLimit,u,spurious-spec,ASM_ERROR;DYNAMIC_DISPATCH;METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION
00129,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException.setFileName(Ljava/lang/String;)V,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException.getPermittedSize()J,org.apache.commons.fileupload2.SizesTest#testFileSizeLimit,u,spurious-spec,METHOD_A_RETURNS_VOID;ASM_ERROR;EXPECTED_EXCEPTION;ONE_STATELESS_METHOD
00130,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException.setFileName(Ljava/lang/String;)V,org.apache.commons.fileupload2.FileUploadBase$SizeException.getPermittedSize()J,org.apache.commons.fileupload2.SizesTest#testFileSizeLimit,u,spurious-spec,ASM_ERROR;DYNAMIC_DISPATCH;METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION
00132,org.apache.commons.fileupload2.FileUploadBase.getBoundary(Ljava/lang/String;)[B,org.apache.commons.fileupload2.FileUploadBase.getFieldName(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.fileupload2.DiskFileUploadTest#testMoveFile,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00133,org.apache.commons.fileupload2.FileUploadBase.getBoundary(Ljava/lang/String;)[B,org.apache.commons.fileupload2.FileUploadBase.getFieldName(Lorg/apache/commons/fileupload2/FileItemHeaders;)Ljava/lang/String;,org.apache.commons.fileupload2.DiskFileUploadTest#testMoveFile,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
