project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
commons-codec,org.apache.commons.codec.language.RefinedSoundex,261,303,8,0,0,0,652,652
commons-validator,org.apache.commons.validator.FormSetFactory,268,268,2,0,0,133,136,269
kamranzafar.jtar,org.kamranzafar.jtar.TarInputStream,330,356,12,0,0,0,429,429
commons-validator,org.apache.commons.validator.routines.CreditCardValidator,331,339,6,0,0,0,372,372
commons-codec,org.apache.commons.codec.net.PercentCodec,332,413,14,21,31,38,731,821
commons-validator,org.apache.commons.validator.routines.IBANValidator,358,381,9,5,0,101,433,539
joda-convert,org.joda.convert.TypedStringConverter,390,395,3,0,4,0,408,412
commons-validator,org.apache.commons.validator.routines.BigDecimalValidator,395,478,20,0,0,5,958,963
commons-validator,org.apache.commons.validator.routines.ISBNValidator,473,502,9,0,0,0,619,619
commons-exec,org.apache.commons.exec.DefaultExecuteResultHandler,489,520,8,1,14,0,696,740
kamranzafar.jtar,org.kamranzafar.jtar.TarEntry,514,568,21,50,38,14,968,1070
commons-exec,org.apache.commons.exec.PumpStreamHandler,525,556,16,0,2,0,725,727
commons-validator,org.apache.commons.validator.Var,579,639,14,0,35,0,934,969
commons-validator,org.apache.commons.validator.ValidatorResult,590,617,7,0,343,0,479,822
commons-codec,org.apache.commons.codec.language.MatchRatingApproachEncoder,597,620,12,0,157,162,356,675
commons-exec,org.apache.commons.exec.DefaultExecutor,622,644,17,95,99,182,318,694
commons-codec,org.apache.commons.codec.StringEncoder,700,701,2,0,0,0,710,710
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex$Branch,979,982,3,74,0,0,935,1009
commons-validator,org.apache.commons.validator.routines.EmailValidator,1008,1016,6,0,260,364,419,1043
commons-validator,org.apache.commons.validator.Validator,1177,1201,6,0,8,147,1073,1327
commons-exec,org.apache.commons.exec.CommandLine,1266,1422,16,169,370,951,940,2430
commons-validator,org.apache.commons.validator.ValidatorResults,1496,1568,7,0,0,0,2096,2096
commons-fileupload,org.apache.commons.fileupload2.FileItemFactory,2079,2079,1,0,0,0,2081,2081
commons-validator,org.apache.commons.validator.routines.CodeValidator,2342,2376,10,0,64,971,1559,2594
commons-validator,org.apache.commons.validator.routines.AbstractCalendarValidator,2348,2373,18,0,6,0,2455,2461
commons-validator,org.apache.commons.validator.Arg,2395,2454,12,0,24,0,2836,2860
commons-validator,org.apache.commons.validator.routines.AbstractFormatValidator,2762,2783,6,0,1057,0,1928,2985
commons-validator,org.apache.commons.validator.FormSet,3037,3069,13,186,1445,0,1599,3230
commons-fileupload,org.apache.commons.fileupload2.util.Closeable,3096,3096,1,0,0,0,3098,3098
commons-fileupload,org.apache.commons.fileupload2.util.FileItemHeadersImpl,3132,3136,5,0,0,0,3165,3165
commons-codec,org.apache.commons.codec.language.Soundex,3206,3218,5,0,0,184,3087,3271
commons-codec,org.apache.commons.codec.binary.Hex,4964,5010,11,0,2,2128,3035,5165
commons-fileupload,org.apache.commons.fileupload2.ProgressListener,5164,5164,1,0,0,0,5165,5165
commons-validator,org.apache.commons.validator.Form,5490,5729,12,0,1040,1326,6665,9238
commons-validator,org.apache.commons.validator.ValidatorResources,7097,7253,17,0,434,1065,7011,8510
commons-validator,org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,8555,8557,2,0,0,0,8561,8561
commons-validator,org.apache.commons.validator.routines.AbstractNumberValidator,9578,9607,17,0,0,0,9714,9714
commons-codec,org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32x86,10043,10054,5,0,0,0,10110,10110
commons-fileupload,org.apache.commons.fileupload2.FileUploadBase$FileItemIteratorImpl$FileItemStreamImpl,10344,10346,2,0,5169,0,5186,10355
commons-fileupload,org.apache.commons.fileupload2.FileItemIterator,10693,10694,2,0,0,0,10707,10707
commons-validator,org.apache.commons.validator.ValidatorAction,11623,11654,22,713,3151,2232,5683,11779
commons-fileupload,org.apache.commons.fileupload2.FileUploadBase$FileItemIteratorImpl,13756,13764,3,0,0,0,13850,13850
commons-validator,org.apache.commons.validator.Field,14853,14953,25,310,799,815,13694,15618
joda-convert,org.joda.convert.StringConvert,15322,15334,28,6,701,1498,13148,15353
commons-fileupload,org.apache.commons.fileupload2.FileItemHeaders,15646,15646,1,0,0,0,15648,15648
commons-fileupload,org.apache.commons.fileupload2.FileItem,18794,18813,11,16,8401,0,10468,18897
commons-fileupload,org.apache.commons.fileupload2.disk.DiskFileItem,19520,19569,9,0,4904,6,14842,19752
commons-fileupload,org.apache.commons.fileupload2.FileItemStream,25422,25430,6,0,19566,0,5890,25456
commons-validator,org.apache.commons.validator.routines.checkdigit.CheckDigit,25987,25988,2,0,90,0,25913,26003
commons-fileupload,org.apache.commons.fileupload2.MultipartStream$ProgressNotifier,40122,40129,4,0,2,0,40181,40183
commons-fileupload,org.apache.commons.fileupload2.FileUploadBase,59783,59796,13,10,6675,19926,33207,59818
commons-codec,org.apache.commons.codec.language.bm.Lang,67128,67128,1,0,0,0,67131,67131
commons-codec,org.apache.commons.codec.language.bm.NameType,68631,68632,2,0,0,0,68639,68639
commons-codec,org.apache.commons.codec.binary.BaseNCodecInputStream,94497,94520,7,0,0,0,94577,94577
commons-codec,org.apache.commons.codec.language.bm.Rule$PhonemeExpr,104267,104268,1,0,0,0,104271,104271
commons-codec,org.apache.commons.codec.language.bm.BeiderMorseEncoder,132730,132792,10,0,34,0,133006,133040
