spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00185,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/File;)[B,org.apache.commons.codec.digest.DigestUtils.digest([B)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00186,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/File;)[B,org.apache.commons.codec.digest.DigestUtils.digestAsHex(Ljava/io/InputStream;)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00187,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/File;)[B,org.apache.commons.codec.digest.DigestUtils.digestAsHex(Ljava/nio/ByteBuffer;)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00188,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/File;)[B,org.apache.commons.codec.digest.DigestUtils.digestAsHex([B)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00189,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/InputStream;)[B,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/nio/ByteBuffer;)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00190,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/InputStream;)[B,org.apache.commons.codec.digest.DigestUtils.digest([B)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00191,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/InputStream;)[B,org.apache.commons.codec.digest.DigestUtils.digestAsHex(Ljava/nio/ByteBuffer;)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00192,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/InputStream;)[B,org.apache.commons.codec.digest.DigestUtils.digestAsHex([B)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00193,org.apache.commons.codec.digest.DigestUtils.digest([B)[B,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/nio/ByteBuffer;)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00194,org.apache.commons.codec.digest.DigestUtils.digest([B)[B,org.apache.commons.codec.digest.DigestUtils.digestAsHex(Ljava/nio/ByteBuffer;)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
