spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00169,org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithError,u,sometimes-true-spec,SOMETIMES_TRUE_SPEC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00194,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00195,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00196,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00198,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY
00199,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY
00200,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE;MORE_COMPLEX_THAN_AB
00201,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00202,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00203,org.apache.commons.exec.ExecuteWatchdog.destroyProcess()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00210,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00226,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;GOOD_EXAMPLE;CONCURRENCY
00233,org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY
00240,org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;ONE_PURE_SETTER;GOOD_EXAMPLE
